id,date,start,end
n2women,2021-06-28,14:40,15:40
opening,2021-06-28,15:40,16:00
keynote1,2021-06-28,16:00,17:00
session1,2021-06-28,17:10,18:10
session1c,2021-06-28,18:20,19:00
demos1,2021-06-29,13:00,14:00
session2,2021-06-29,14:30,15:30
session3,2021-06-29,16:00,17:00
panel1,2021-06-29,17:10,18:10
social1,2021-06-29,18:10,19:40
session4,2021-06-30,00:00,01:20
srm1,2021-06-30,13:30,14:30
keynote2,2021-06-30,14:30,15:30
session5,2021-06-30,16:00,17:00
session5c,2021-06-30,17:10,17:50
session6,2021-06-30,18:00,19:00
session6c,2021-06-30,19:10,19:50
social2,2021-07-01,09:30,10:30
social3,2021-07-01,14:00,15:10
srm2,2021-07-01,15:10,16:00
keynote3,2021-07-01,16:00,17:00
session7,2021-07-01,17:10,18:30
social4,2021-07-01,18:30,20:00
demos2,2021-07-01,23:00,00:00
session8,2021-07-02,00:00,01:00
session9,2021-07-02,14:00,15:20
panel2,2021-07-02,16:00,17:00
closing,2021-07-02,17:00,17:40